#Y(X), créé par Plot Digitizer, 2.6.8
#Date: 12/10/20, 17:44:07
wl,spec_o1
372.081,1.07536,
379.512,1.69450,
385.456,2.28106,
396.603,3.19348,
406.263,4.07332,
417.410,4.83910,
433.758,5.40937,
454.565,5.71894,
470.170,5.80041,
482.059,5.70265,
496.921,5.49084,
511.783,5.23014,
525.159,4.96945,
537.049,4.74134,
548.195,4.49694,
563.057,4.17108,
580.149,3.76375,
597.240,3.42159,
613.588,3.04684,
631.422,2.73727,
644.055,2.41141,
661.146,2.11813,
673.779,1.85743,
690.870,1.61303,
708.705,1.36864,
725.796,1.15682,
748.832,0.945010,
770.382,0.782077,
786.730,0.651731,
800.849,0.570265,
819.427,0.488798,
850.637,0.391039,
869.958,0.325866,
896.709,0.244399,
920.488,0.195519,
948.726,0.130346,
971.019,0.114053,
988.854,0.114053,
999.257,0.114053,
