Index Export Column Header	x	y
1	343.323	0.302
2	348.035	0.322
3	352.694	0.342
4	357.681	0.363
5	362.418	0.382
6	365.655	0.395
7	368.161	0.407
8	371.320	0.419
9	373.708	0.430
10	376.628	0.441
11	379.886	0.454
12	384.305	0.474
13	389.251	0.493
14	393.596	0.515
15	397.062	0.526
16	401.541	0.546
17	406.780	0.568
18	409.530	0.579
19	412.474	0.592
20	414.817	0.602
21	416.946	0.610
22	419.453	0.620
23	422.343	0.632
24	426.627	0.651
25	431.089	0.670
26	435.916	0.690
27	438.904	0.703
28	460.268	0.713
29	493.896	0.731
30	501.841	0.735
31	509.305	0.740
32	532.282	0.752
33	563.424	0.773
34	585.185	0.790
35	600.979	0.801
36	620.663	0.816
37	631.825	0.825
38	638.991	0.832
39	646.268	0.839
40	654.226	0.845
41	662.002	0.852
42	668.170	0.859
43	673.650	0.865
44	680.761	0.870
45	688.184	0.877
46	693.849	0.883
47	700.218	0.890
48	706.824	0.896
49	713.878	0.903
50	719.241	0.907
51	724.260	0.913
52	729.606	0.914
53	736.695	0.917
54	748.528	0.922
55	755.919	0.925
56	763.651	0.929
57	772.661	0.932
58	782.044	0.937
59	790.483	0.940
60	806.534	0.947
61	818.710	0.951
62	824.161	0.950
63	830.573	0.945
64	836.555	0.941
65	842.048	0.937
66	849.886	0.933
67	856.704	0.928
68	864.393	0.924
69	878.337	0.915
70	889.496	0.908
71	901.410	0.901
72	910.085	0.895
73	914.067	0.892
74	918.497	0.866
75	923.876	0.835
76	928.315	0.807
77	930.497	0.793
78	931.788	0.782
79	934.795	0.770
80	936.221	0.758
81	938.357	0.746
82	940.730	0.729
83	943.225	0.714
84	944.840	0.703
85	948.116	0.682
86	950.403	0.669
87	952.707	0.655
88	954.227	0.646
89	956.253	0.633
90	958.365	0.623
91	959.743	0.615
92	961.419	0.604
93	963.031	0.589
94	964.727	0.577
95	967.528	0.563
96	971.178	0.541
97	972.817	0.530
98	974.987	0.518
99	976.790	0.506
100	978.852	0.492
101	981.414	0.479
102	983.372	0.467
103	985.192	0.454
104	987.223	0.441
105	989.291	0.428
106	991.067	0.417
107	993.392	0.403
108	995.470	0.390
109	997.593	0.379
110	999.127	0.367
111	1000.737	0.356
112	1002.923	0.344
113	1004.814	0.331
114	1006.676	0.322
115	1008.032	0.311
116	1010.021	0.300
117	1012.277	0.288
118	1014.303	0.278
119	1017.270	0.263
120	1020.057	0.249
121	1022.124	0.236
122	1026.431	0.220
123	1028.416	0.209
124	1031.015	0.197
125	1032.126	0.188
126	1034.017	0.182
127	1036.064	0.176
128	1038.910	0.169
129	1042.133	0.161
130	1046.404	0.151
131	1049.960	0.141
132	1053.884	0.132
133	1057.213	0.124
134	1062.363	0.114
135	1066.871	0.106
136	1070.493	0.101
137	1076.702	0.092
138	1081.225	0.082
139	1084.670	0.075
140	1087.608	0.066
141	1091.361	0.057
142	1094.807	0.047
143	1099.237	0.038
144	1103.079	0.027
145	1104.792	0.022
146	1105.545	0.015
147	1105.763	0.007
148	1105.893	0.002
149	1116.171	0.001
150	1125.955	0.002
151	1140.311	0.002
152	1149.390	0.002
153	1167.462	3.218e-4
