,wl,o2_10,o2_11,o2_12,o2_13,o2_14,o2_15,o2_16,o2_17,o2_18,o2_19,o2_20,o2_21,o2_22,o2_23,o2_24,o2_25,o3_10,o3_11,o3_12,o3_13,o3_14,o3_15,o3_16,o3_17,o3_18,o3_19,o3_20,o3_21,o3_22,o3_23,o3_24,o3_25,h2o_10,h2o_11,h2o_12,h2o_13,h2o_14,h2o_15,h2o_16,h2o_17,h2o_18,h2o_19,h2o_20,h2o_21,h2o_22,h2o_23,h2o_24,h2o_25,no2_10,no2_11,no2_12,no2_13,no2_14,no2_15,no2_16,no2_17,no2_18,no2_19,no2_20,no2_21,no2_22,no2_23,no2_24,no2_25
145,395.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9969435999999999,0.9966384,0.9963334,0.9960285,0.9957235999999999,0.9954188,0.9951141,0.9948096,0.9945052,0.9942006999999999,0.9938973,0.9935923000000001,0.9932882,0.9929841,0.9926803,0.9923764000000002
146,396.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999899576978,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998993485029,1.0,1.0,1.0,1.0,1.0,0.996758,0.9964344,0.9961110000000001,0.9957876,0.9954641,0.9951409999999999,0.994818,0.9944949000000001,0.9941722,0.9938492,0.9935271999999999,0.9932040999999999,0.9928816999999999,0.9925591999999999,0.992237,0.9919148000000001
147,397.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999970914051022,0.9999966892403624,0.9999964875487114,0.9999959845824028,0.9999957825634302,0.9999955804248176,0.9999951772191122,0.9999948742781024,0.9999945711598296,0.9999942678604667,0.9999941655739693,0.9999936607269356,0.9999934575440406,0.9999930528762704,0.9999928493937292,0.9999925450503112,0.9970450000000001,0.9967501,0.9964550999999999,0.9961604,0.9958655999999999,0.9955708000000001,0.9952764000000001,0.9949818000000001,0.9946876,0.9943931,0.9940995,0.9938048,0.9935107,0.9932168,0.9929228000000001,0.9926290999999999
148,398.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999598592988,0.999999397678049,0.9999993974665274,0.9999995981698646,0.9999993970431601,0.9999991957753274,0.9999991954928291,0.9999991952102941,0.999999094293688,0.9999990939754806,0.9999989929534944,0.9999989925989268,0.9999990930205208,0.9999988910802936,0.99999899153708,0.9999987894196488,0.9964948,0.9961450000000001,0.9957953000000002,0.9954455,0.9950960999999999,0.9947469000000001,0.9943976000000001,0.9940485000000001,0.9936995999999999,0.9933506,0.9930028000000001,0.9926533000000001,0.9923046999999998,0.9919564000000001,0.9916081,0.9912601000000001
149,399.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999978934801104,0.9999976921435952,0.9999974906829056,0.9999973895010954,0.99999718782158,0.999996885552076,0.9999965830948618,0.9999963809787864,0.9999962792968916,0.9999959763712402,0.9999958745044374,0.9999956719163636,0.9999954692055494,0.9999951656543916,0.9999949626622452,0.9999946587667476,0.9969049000000001,0.9965958,0.996287,0.9959781999999999,0.9956693999999999,0.995361,0.9950525,0.9947440999999999,0.9944357,0.9941274999999999,0.99382,0.9935113000000001,0.9932033000000001,0.9928955,0.9925878,0.9922802
150,400.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999498196216,0.9999992972217068,0.9999993974016562,0.9999991962461479,0.9999990954512049,0.9999991956670584,0.9999991953773624,0.9999988932454772,0.9999988928469054,0.9999989931342832,0.9999988920500156,0.999998790890935,0.9999987904556062,0.9999986891881618,0.9999985878480084,0.9999985873394536,0.9964054,0.9960466999999998,0.9956881,0.9953296,0.9949712,0.994613,0.9942549,0.9938969999999999,0.9935392,0.9931810999999999,0.9928246,0.9924663,0.9921091000000001,0.9917518,0.9913947,0.9910378000000001
151,401.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998995454834,0.9999998995104248,0.9999998994753722,1.0,1.0,0.9999998993701174,0.9999998993349968,0.9999997985999272,1.0,0.9999998992296002,0.9999998991944326,0.9999998991592708,0.9999998991240844,0.9965177,0.9961700000000001,0.9958227,0.9954754000000001,0.9951280999999998,0.9947811,0.9944341,0.9940872,0.9937405999999999,0.9933939,0.9930483,0.9927011,0.9923549,0.9920087,0.9916628000000001,0.9913169
152,402.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9969268,0.9966200000000001,0.9963134,0.9960066999999999,0.9957002,0.9953939,0.9950876000000001,0.9947813,0.9944752,0.9941690999999999,0.9938639000000001,0.9935575000000001,0.9932516,0.9929458000000001,0.9926403,0.9923348
153,403.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9971662,0.9968833,0.9966004999999999,0.9963177,0.9960349000000001,0.9957524,0.9954699,0.9951875,0.9949049999999999,0.9946226,0.9943412,0.9940584000000001,0.9937763000000001,0.9934943000000002,0.9932125,0.9929306999999998
154,404.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9967056999999999,0.9963768,0.9960482,0.9957196,0.9953911,0.9950627000000001,0.9947343000000001,0.9944062,0.9940781999999999,0.9937501,0.993423,0.9930945,0.9927669,0.9924393,0.9921120000000001,0.9917845999999999
