,wl,o2_10,o2_11,o2_12,o2_13,o2_14,o2_15,o2_16,o2_17,o2_18,o2_19,o2_20,o2_21,o2_22,o2_23,o2_24,o2_25,o3_10,o3_11,o3_12,o3_13,o3_14,o3_15,o3_16,o3_17,o3_18,o3_19,o3_20,o3_21,o3_22,o3_23,o3_24,o3_25,h2o_10,h2o_11,h2o_12,h2o_13,h2o_14,h2o_15,h2o_16,h2o_17,h2o_18,h2o_19,h2o_20,h2o_21,h2o_22,h2o_23,h2o_24,h2o_25,no2_10,no2_11,no2_12,no2_13,no2_14,no2_15,no2_16,no2_17,no2_18,no2_19,no2_20,no2_21,no2_22,no2_23,no2_24,no2_25
439,689.0,0.9412344000000001,0.9359503,0.9307643,0.9256738000000001,0.9206768,0.9157713,0.9109549000000001,0.9062258,0.9015815999999999,0.897021,0.8925514000000001,0.8881416,0.8838190999999999,0.8795725000000001,0.8754002000000001,0.8713001,0.990773074167285,0.9898546963444532,0.9889373711475612,0.988020726091632,0.98710513830695,0.9861903293977438,0.9852762194923153,0.9843628376062568,0.9834505273843209,0.9825387588473404,0.981630077550716,0.980717939571798,0.9798088771785992,0.9789006591270192,0.9779930367847758,0.977086310445735,0.9999419910704496,0.9999363214051002,0.9999305946736462,0.9999251356147274,0.9999194071144184,0.9999138431178176,0.9999082281680466,0.9999026732631096,0.999897291603999,0.9998916413328116,0.9998862810589956,0.9998806496621708,0.9998754269963164,0.9998699368158964,0.9998644048744793,0.9998591759601542,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
440,690.0,0.9610310999999999,0.9573284,0.9536597,0.9500244000000001,0.9464224,0.9428533000000001,0.9393169,0.9358127,0.9323403,0.9288995999999999,0.9254978000000001,0.9221118,0.9187642,0.9154468000000001,0.9121601,0.9089027,0.990947639467651,0.9900468846427204,0.9891467574859251,0.9882476702703636,0.9873492005261076,0.98645165690145,0.9855550347278964,0.9846588959521494,0.9837638681927618,0.9828694080608926,0.9819778069704757,0.9810832048781938,0.9801912177248526,0.9793001624998852,0.9784096015600771,0.9775201459958256,0.9997278964229148,0.999700102911394,0.99967210525935,0.9996440091433442,0.9996158163627572,0.9995876346829352,0.9995591477168142,0.9995306753156908,0.9995021131232876,0.9994733553550889,0.9994447312570596,0.9994156890737108,0.9993866761460666,0.9993574722201224,0.9993280784809596,0.9992989348584838,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
441,691.0,0.9708679,0.9681764,0.9655226,0.9629059000000001,0.9603255999999999,0.9577812,0.9552719999999999,0.9527972,0.9503566999999999,0.9479495000000001,0.9455805,0.9432337,0.9409235999999999,0.9386452,0.9363974,0.9341799000000001,0.9911303072230528,0.9902478515278826,0.9893661733034524,0.988485167657608,0.9876049331601698,0.9867255694724432,0.9858469629592408,0.9849693093136712,0.9840920782691382,0.9832159835518663,0.9823424869696444,0.9814658869800772,0.9805921543470691,0.9797189609023729,0.9788466947900538,0.9779752272554784,0.9992143112363692,0.999134455250097,0.9990543981052332,0.9989739391980048,0.9988932920251214,0.9988125680479008,0.9987314607776634,0.998650499812552,0.9985690635947534,0.9984873666793432,0.998405846990288,0.9983236391999142,0.9982415150390532,0.9981590488077924,0.9980766712936197,0.9979938553591229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
442,692.0,0.9914948,0.990663,0.9898346,0.9890095,0.9881876,0.9873690999999999,0.9865538,0.9857416999999999,0.984933,0.9841274999999999,0.9833269,0.9825259,0.9817300999999999,0.9809370999999999,0.9801478000000001,0.9793615,0.9913244123922788,0.9904609337383148,0.989598161147327,0.9887360030414268,0.987874771956256,0.9870142786522283,0.9861546324184246,0.9852954379428199,0.9844371139965866,0.9835794650591514,0.982724564943764,0.9818667375587758,0.9810112779469632,0.9801566277797016,0.9793028153509094,0.9784494285307316,0.9980172361973052,0.9978240834673344,0.9976321296507518,0.9974407728136079,0.9972506232622228,0.997061382617706,0.996872953102,0.9966854400092844,0.9964990512044982,0.9963131809648648,0.996129059420626,0.995944636166843,0.9957617679237908,0.9955795330811732,0.9953984490910452,0.9952178026193595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
443,693.0,0.9940119000000001,0.9934223,0.9928345,0.9922484,0.9916639000000002,0.9910812,0.9905001,0.9899207,0.9893430000000001,0.9887667,0.9881933,0.9876191999999999,0.9870481,0.9864784,0.9859104,0.9853443999999999,0.9914386336823532,0.9905868833425624,0.9897354493624064,0.9888848397236014,0.988035059055795,0.9871858128274454,0.9863374067301962,0.9854897468049714,0.984642636578012,0.9837964810101312,0.9829531327524684,0.9821064637058492,0.981262412642302,0.9804191353809674,0.979576643070202,0.9787347449277634,0.9913484939164208,0.9905149099230004,0.9896871029360884,0.9888645826992516,0.9880477649735964,0.9872361618805804,0.9864300871852512,0.9856295559836258,0.9848342789103476,0.9840445678439615,0.9832616756256088,0.9824806970135858,0.9817065652626251,0.9809377478513468,0.9801740604420036,0.9794154206387128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
444,694.0,0.9999665000000001,0.9999631,0.9999598,0.9999565,0.9999530999999999,0.9999498,0.9999465,0.9999431999999999,0.9999399,0.9999363000000001,0.999933,0.9999295,0.9999264000000001,0.9999229,0.9999195,0.9999159,0.9917071221885934,0.9908816635333844,0.9900569002873916,0.9892328316281758,0.9884092563941248,0.9875865768461576,0.9867644919003168,0.9859430015624888,0.9851223058505816,0.9843025000692543,0.9834849934945642,0.9826643778386376,0.9818465639071036,0.9810291373464894,0.9802127071229236,0.9793967672681272,0.9792141036724732,0.9772100590511792,0.9752192038119932,0.973241335998116,0.9712764528656394,0.9693244600878964,0.9673852551111484,0.9654585380449608,0.9635447090370132,0.9616431566690798,0.9597582037996546,0.9578771303376888,0.9560124625172411,0.9541599657333579,0.9523196617327696,0.9504908362793312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
445,695.0,0.9999800999999999,0.9999780999999999,0.9999761999999999,0.9999742,0.999972,0.9999701999999999,0.9999681,0.9999661,0.9999642,0.9999620000000001,0.9999601999999999,0.9999579,0.999956,0.9999541999999999,0.9999522,0.9999502,0.9918400376167484,0.9910277035067068,0.990215967140018,0.9894051266522677,0.9885948806566583,0.9877851359970526,0.9869760845370966,0.986167831089474,0.9853600758907171,0.9845531130182946,0.9837486531963971,0.9829410818195446,0.9821361139890156,0.9813317449939208,0.9805279692369296,0.9797248902995368,0.9891982850458724,0.9881504404946468,0.9871087931892779,0.9860727406767094,0.9850422811838732,0.9840175237222069,0.9829981576412288,0.9819847892843568,0.9809765189593788,0.9799740390134826,0.978979063366722,0.977985273180001,0.97699898795547,0.9760180016244744,0.9750423070222756,0.9740721087910178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
446,696.0,0.9999783999999999,0.9999763,0.9999742,0.999972,0.9999698,0.9999677,0.9999654,0.9999633,0.9999610999999999,0.9999591,0.9999571,0.9999546999999999,0.9999526,0.9999505,0.9999484000000001,0.9999462,0.9919758266778562,0.9911767908899441,0.9903786517692156,0.9895810082682316,0.9887840612786506,0.9879878120063278,0.9871923568555472,0.9863971007735984,0.985602839950474,0.9848090786913184,0.9840176143556556,0.9832234400218328,0.982431567256288,0.981640291194414,0.9808498118502916,0.980060027229465,0.9861301004101688,0.9848015397964932,0.983483373871046,0.9821751009028252,0.9808769224830588,0.9795887407163252,0.9783105495450144,0.9770418574361679,0.9757829579570644,0.9745335584225396,0.9732965544221848,0.9720633344690516,0.9708422179211296,0.9696301966947364,0.9684275708626564,0.9672339371858206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
447,697.0,0.9999903,0.9999893,0.9999884,0.9999874,0.9999863999999999,0.9999855,0.9999846,0.9999834999999999,0.9999826999999999,0.9999815000000001,0.9999806,0.9999796999999999,0.9999787,0.9999777,0.9999768,0.9999758,0.9921839241840644,0.991405708041076,0.9906278912835388,0.9898509721222488,0.9890745514138992,0.9882987303315898,0.9875236078635612,0.9867490813598424,0.9859749573667624,0.9852017262319354,0.9844306979555404,0.9836566682303652,0.9828850354512552,0.9821142011466856,0.9813437671753984,0.9805741298939435,0.9984037845167096,0.9982442812138091,0.9980847777834224,0.9979253738597108,0.9977659696171868,0.9976066652966468,0.9974472606878146,0.9972879552512616,0.9971285503239208,0.9969694439347128,0.9968105381244396,0.9966507320098598,0.9964915252694884,0.9963324182129262,0.9961734112231404,0.9960141035413058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
448,698.0,0.9999912000000001,0.9999903,0.9999894,0.9999886,0.9999876,0.9999868000000001,0.9999858,0.999985,0.9999841,0.9999833,0.9999824,0.9999815000000001,0.9999806,0.9999796000000001,0.9999788000000001,0.9999778,0.992301632254364,0.9915350178896736,0.9907692021535428,0.9900036860420208,0.9892389665631854,0.988474747866672,0.9877112254994022,0.9869481042215632,0.9861857803539076,0.9854238565784048,0.9846642300904496,0.9839019021851904,0.9831418729523352,0.9823824406017884,0.9816235104184209,0.9808653752113295,0.99793608183752,0.9977298779798164,0.9975238737530618,0.9973175694202914,0.997111664184636,0.996905759156021,0.9966997531364944,0.9964939474092112,0.9962880409798516,0.9960822345733172,0.9958768274321628,0.9956707199083183,0.9954650120212332,0.9952594032918272,0.995053795140457,0.9948483856341612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
