,wl,o2_10,o2_11,o2_12,o2_13,o2_14,o2_15,o2_16,o2_17,o2_18,o2_19,o2_20,o2_21,o2_22,o2_23,o2_24,o2_25,o3_10,o3_11,o3_12,o3_13,o3_14,o3_15,o3_16,o3_17,o3_18,o3_19,o3_20,o3_21,o3_22,o3_23,o3_24,o3_25,h2o_10,h2o_11,h2o_12,h2o_13,h2o_14,h2o_15,h2o_16,h2o_17,h2o_18,h2o_19,h2o_20,h2o_21,h2o_22,h2o_23,h2o_24,h2o_25,no2_10,no2_11,no2_12,no2_13,no2_14,no2_15,no2_16,no2_17,no2_18,no2_19,no2_20,no2_21,no2_22,no2_23,no2_24,no2_25
299,549.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.974949519490795,0.9724793043636288,0.9700152739839678,0.967557427057256,0.9651059614865486,0.9626606813301803,0.9602215878030008,0.9577885904605788,0.9553617741997008,0.9529409526632076,0.950531835214993,0.9481180868860596,0.9457159395210312,0.9433197869677272,0.9409295420797062,0.938545389311596,0.9998729169003612,0.9998601994414582,0.9998474803330694,0.999834859647214,0.9998221372021809,0.9998095131895848,0.9997967874193194,0.9997840600259068,0.9997713309250996,0.9997586001814254,0.9997459679292772,0.9997331336993156,0.9997204980762336,0.99970796094849,0.9996951217680052,0.9996823810423849,0.9993460999999999,0.9992806999999999,0.9992154000000001,0.9991501,0.9990846999999999,0.9990193000000002,0.9989539000000001,0.9988886999999999,0.9988233,0.998758,0.9986927999999999,0.9986273999999999,0.9985620000000001,0.9984966000000001,0.9984314000000001,0.9983661
300,550.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9747393048556372,0.9722484760810614,0.9697641933282504,0.96728625748029,0.964814565930496,0.9623491302138284,0.9598902369735222,0.957437302263294,0.9549908154326354,0.9525505765527316,0.950122006447482,0.9476888697970002,0.9452671991337324,0.9428517907642328,0.9404426284970616,0.9380395364154726,0.9997367635382184,0.9997103348329216,0.9996841035123848,0.999657769405025,0.9996315326032102,0.9996050929992978,0.9995788507409196,0.9995524056693949,0.9995261580001824,0.9994999075589732,0.9994736544955192,0.999447298494952,0.9994209398134812,0.9993945784586068,0.9993685146216348,0.9993420476885756,0.9994815999999999,0.9994298,0.9993780000000001,0.9993261999999998,0.9992743000000001,0.9992226000000001,0.9991707000000001,0.9991190000000001,0.9990671999999998,0.9990153,0.9989636000000001,0.9989117000000001,0.9988599,0.9988082,0.9987563,0.9987046
301,551.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9745174231888988,0.9720051266504784,0.9694994007120616,0.96699994356553,0.9645072457677152,0.9620206321415332,0.9595406786362666,0.9570670051236928,0.9545995093451024,0.9521387694934036,0.949689628374821,0.9472359376997284,0.9447939390153662,0.9423583123923712,0.9399290640125806,0.9375059006803492,0.9999814913009114,0.9999795894477445,0.9999776874179348,0.999975785209606,0.9999739828807356,0.999972080322211,0.9999703777270129,0.9999683747377404,0.9999663715637944,0.9999646684559976,0.9999628651080557,0.9999610615794604,0.99995905768202,0.9999573539166424,0.9999554497651552,0.9999535454391184,0.9995299999999999,0.999483,0.9994360999999999,0.9993892,0.999342,0.9992951999999999,0.9992481,0.9992011999999999,0.9991544,0.9991072,0.9990604,0.9990133,0.9989664,0.9989193999999999,0.9988724,0.9988254999999999
302,552.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9742029048143852,0.971660107784836,0.969123890544274,0.9665942513904052,0.964071287669248,0.9615550072113191,0.95904510325411,0.9565418848235654,0.9540452488850809,0.9515547959793168,0.9490767324609496,0.9465940387232256,0.9441233352809087,0.9416590179957404,0.9392009997888744,0.9367495643148209,0.9999643841295682,0.99996088082378,0.9999572771560954,0.9999535731095451,0.9999500688529503,0.9999466643557888,0.9999430594070512,0.999939554218365,0.9999358485569578,0.9999321425654676,0.9999287365113578,0.9999252300527144,0.9999217232809878,0.9999181160935612,0.9999145086011456,0.9999109007791076,0.9995544,0.9995098,0.9994653,0.9994208000000001,0.9993761999999998,0.9993316999999999,0.9992870999999999,0.9992426,0.9991981,0.9991536,0.9991091000000001,0.9990645,0.9990199000000001,0.9989753,0.9989309000000001,0.9988864
303,553.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9738516077136796,0.9712746590488702,0.9687044111357264,0.9661411593985338,0.9635846004244344,0.9610348573694596,0.9584919054285884,0.9559556610624868,0.9534258305736224,0.9509030879276956,0.948392383721396,0.9458773492658108,0.9433744355722532,0.9408780497183588,0.9383884708687308,0.935905298895354,0.9999987992840129,0.9999985990811374,0.9999984989261318,0.9999983987590382,0.9999982985796544,0.9999980982994994,0.9999980981858596,0.9999978978694908,0.9999976975296796,0.9999975972784372,0.9999974970164436,0.9999973967412408,0.9999972964542998,0.9999970960189324,0.9999969957026532,0.9999968953741074,0.9994037,0.9993440999999998,0.9992846,0.999225,0.9991652,0.9991058,0.9990460999999999,0.9989865,0.9989271000000001,0.9988673,0.998808,0.9987482,0.9986885,0.9986290999999999,0.9985696,0.99851
304,554.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973545689756686,0.970939082510722,0.9683394357958706,0.9657467445238588,0.963160912524091,0.9605821448571326,0.9580102347425828,0.9554452869216276,0.9528871022126932,0.950335781666249,0.9477967470446559,0.9452535477221784,0.9427228202776528,0.9401986720359718,0.9376812931952594,0.9351706847151964,0.9999998999526876,0.9999998999479528,0.9999997998864556,0.999999899938492,0.9999997998675124,0.9999998999290296,0.9999998999242928,0.9999998999195554,0.9999998999148174,0.9999998999100792,0.9999997998107409,0.9999997998012428,1.0,0.9999998998911416,0.9999997997728224,0.9999997997633604,0.9995271000000001,0.9994798,0.9994325999999999,0.9993853000000001,0.999338,0.9992908000000001,0.9992435,0.9991962,0.9991489,0.9991015999999999,0.9990546,0.9990072,0.9989598,0.9989126,0.9988654,0.9988181999999999
305,555.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9731738127739824,0.9705309781964973,0.9678955638172096,0.9652670701815816,0.9626458907278248,0.9600317484838128,0.9574246217555284,0.95482471886458,0.9522317403742532,0.9496459821624682,0.9470727690634688,0.9444952591543534,0.941930485871943,0.9393724404626084,0.9368216240409284,0.9342775369249476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998999411254,1.0,0.9999998999341868,0.9999998999307421,0.9999998999272672,1.0,0.9999998999203368,0.999999899916871,0.9999998999134052,0.9996538,0.9996191999999999,0.9995845999999999,0.99955,0.9995152,0.9994808000000001,0.9994462,0.9994116,0.9993770000000001,0.9993423,0.9993079,0.9992732,0.9992386000000001,0.9992040000000001,0.9991694,0.9991348
306,556.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9724774955367184,0.969767052435159,0.9670645537387629,0.9643694026610732,0.9616817922486632,0.9590015460657358,0.9563288374679328,0.9536635878308616,0.9510058798387006,0.9483555227732252,0.9457183314659278,0.9430767809912596,0.9404483872013564,0.9378274474635602,0.9352137622822124,0.9326074323542006,1.0,0.99999989996841,0.999999899965538,0.9999998999626659,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998999339264,1.0,1.0,0.9997128000000001,0.9996841999999999,0.9996555,0.9996268,0.9995978999999999,0.9995693999999999,0.9995405999999999,0.9995120000000001,0.9994832,0.9994544,0.9994258,0.9993970999999999,0.9993684000000002,0.9993396999999999,0.9993110000000001,0.9992823000000001
307,557.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9716712954386224,0.9688829579716262,0.9661026562907964,0.963330281766862,0.9605657382092688,0.9578091390588012,0.955060656158242,0.9523200106616324,0.9495871990791648,0.946862222142175,0.9441509898401856,0.9414356750651148,0.9387341125127248,0.9360403752642764,0.9333541955590479,0.9306757489217624,1.0,1.0,1.0,1.0,1.0,0.9999997999067566,0.9999998999502552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998999253644,0.9999998999222596,0.9996892,0.999658,0.999627,0.9995959000000001,0.9995648000000001,0.999534,0.9995028,0.9994716999999999,0.9994405999999999,0.9994095,0.9993785,0.9993473,0.9993163,0.9992851,0.9992542,0.9992232
308,558.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9709575479375168,0.9680999585650087,0.9652509880398804,0.9624102303734848,0.9595780857084688,0.9567541668304976,0.953938357757688,0.9511311725516908,0.9483321126106656,0.9455410740630746,0.9427644619101522,0.9399839589236368,0.9372175831996868,0.9344595317438579,0.9317095051414576,0.9289676042674684,0.9999998999670991,0.9999998999638068,0.9999998999605244,0.9999998999572318,0.9999998999539288,1.0,0.9999998999473422,1.0,1.0,0.999999799874962,0.9999998999341968,0.9999998999309024,0.9999998999276076,0.9999997998486256,0.9999998999210176,1.0,0.9996710999999999,0.9996381999999999,0.9996054,0.9995725000000001,0.9995395,0.9995066999999999,0.9994736999999999,0.9994408000000001,0.999408,0.9993752,0.9993424000000001,0.9993095,0.9992766,0.9992437,0.9992108000000001,0.9991779000000001
309,559.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9699132790335792,0.9669548903279344,0.9640055576895376,0.961065078730426,0.9581335541583046,0.9552111847290784,0.9522975709757594,0.9493928136062576,0.9464970079859408,0.9436098650670702,0.9407381838901404,0.9378624490366426,0.9350016829377329,0.9321496771869614,0.92930653251046,0.9264719493911596,0.9999986996706266,0.9999986996375891,0.9999984995438612,0.9999982994400056,0.9999981993614936,0.9999980992779156,0.9999978991487349,0.9999977990524922,0.9999976989509516,0.9999973987482776,0.9999974987331084,0.999997398616324,0.9999971984389702,0.9999969982514816,0.9999968981146742,0.9999967979727966,0.9997466999999999,0.9997212999999999,0.9996959999999999,0.9996707,0.9996454,0.9996200999999999,0.9995948,0.9995695,0.9995440999999999,0.9995188,0.9994934999999999,0.9994681000000001,0.9994428,0.9994175,0.9993921999999998,0.9993669
