,wl,o2_10,o2_11,o2_12,o2_13,o2_14,o2_15,o2_16,o2_17,o2_18,o2_19,o2_20,o2_21,o2_22,o2_23,o2_24,o2_25,o3_10,o3_11,o3_12,o3_13,o3_14,o3_15,o3_16,o3_17,o3_18,o3_19,o3_20,o3_21,o3_22,o3_23,o3_24,o3_25,h2o_10,h2o_11,h2o_12,h2o_13,h2o_14,h2o_15,h2o_16,h2o_17,h2o_18,h2o_19,h2o_20,h2o_21,h2o_22,h2o_23,h2o_24,h2o_25,no2_10,no2_11,no2_12,no2_13,no2_14,no2_15,no2_16,no2_17,no2_18,no2_19,no2_20,no2_21,no2_22,no2_23,no2_24,no2_25
672,922.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9776935,0.9755359975535998,0.9733912,0.9712593,0.9691401969140196,0.9670337967033796,0.9649398929879786,0.9628583925716784,0.9607891960789195,0.9587324917464984,0.9566923913384784,0.954655490931098,0.952635,0.950626680250672,0.9486301948630196,0.9466450999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
673,923.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9770382,0.9748200974820096,0.9726155999999999,0.9704248,0.9682476999999999,0.9660839,0.9639337,0.9617966999999998,0.959673,0.9575623,0.9554693000000001,0.9533798000000001,0.9513079951307994,0.9492487,0.9472021999999999,0.9451685999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
674,924.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9691703000000002,0.9661908966190896,0.9632298,0.9602870000000001,0.9573621957362196,0.9544552954455294,0.9515662951566296,0.9486949,0.9458411,0.9430046943004694,0.9401917940191792,0.9373839,0.9345993,0.9318314,0.9290806999999999,0.9263465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
675,925.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9691703000000002,0.9661908966190896,0.9632298,0.9602870000000001,0.9573621957362196,0.9544552954455294,0.9515662951566296,0.9486949,0.9458411,0.9430046943004694,0.9401917940191792,0.9373839,0.9345993,0.9318314,0.9290806999999999,0.9263465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
676,926.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9730974,0.9704923000000001,0.9679023999999999,0.9653275,0.9627674962767496,0.9602222,0.9576915000000001,0.9551755,0.9526741,0.9501870950187096,0.9477197,0.9452556000000001,0.9428113000000001,0.9403808000000001,0.9379644,0.9355617935561794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
677,927.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9762728,0.9739655973965596,0.9716699000000001,0.9693857,0.9671129,0.9648517,0.9626019,0.9603633,0.9581359,0.9559194955919494,0.9537191999999999,0.9515200999999999,0.9493370000000001,0.9471646,0.9450031999999999,0.9428523999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
678,928.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9271521,0.9205863999999999,0.9141393,0.907808,0.9015898901589888,0.8954816999999999,0.8894815,0.8835864999999999,0.8777940999999999,0.8721021999999999,0.8665204,0.8610097,0.8556048,0.8502911,0.8450665999999999,0.8399291999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
679,929.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9170083,0.9095705909570588,0.9022745902274588,0.8951169,0.8880941888094188,0.8812032881203288,0.8744408874440888,0.8678040000000001,0.8612894,0.8548944709788941,0.8486296999999998,0.8424517,0.8363984,0.8304536660907332,0.8246146000000001,0.8188791818879181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
680,930.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9170083,0.9095705909570588,0.9022745902274588,0.8951169,0.8880941888094188,0.8812032881203288,0.8744408874440888,0.8678040000000001,0.8612894,0.8548944709788941,0.8486296999999998,0.8424517,0.8363984,0.8304536660907332,0.8246146000000001,0.8188791818879181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
681,931.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8250026,0.8123754,0.8003971999999999,0.7890219,0.7782071999999999,0.767914,0.7581055999999999,0.7487486999999999,0.739812,0.7312662,0.7231026999999999,0.7152433000000001,0.7077177,0.7004873,0.6935321,0.6868337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
